name,lat,lon,region,region_raw,category,type_raw,point_kind,confidence,source
חורבת עתרי,31.649472,34.972007,center,מרכז / ירושלים והשפלה,archaeology,טיול / נקודת עניין,אתר ארכאולוגי,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער המגינים,31.8397222,34.9280556,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,מרכז אתר / יער,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער חדרה,32.42778,34.895,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,מרכז אתר / יער,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
פארק יער שהם,31.99722,34.95944,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,מרכז אתר / יער,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער אשתאול,31.805562,34.9957289,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,מרכז אתר / יער,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער בן שמן,31.9488889,34.9561111,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,מרכז אתר / יער,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער עמינדב,31.740939,35.138146,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,מרכז אתר / יער,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
דרך נוף פארק בריטניה,31.700713756956883,34.93171691894531,center,מרכז / ירושלים והשפלה,nature,דרך נוף / טיול רכב,מרכז הפארק / נקודה מייצגת לדרך הנוף,בינונית,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער אילנות,32.29291,34.900517,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,מרכז אתר / יער,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער חורשים,32.1427778,34.9841667,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,מרכז אתר / יער,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער קדימה,32.28798,34.927283,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,מרכז אתר / יער,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
תל חדיד שביער בן שמן,31.9669444444,34.9527777778,center,מרכז / ירושלים והשפלה,archaeology,יער / מסלול,אתר ארכאולוגי,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יד אנה פרנק ביער הקדושים,31.778002,35.029938,center,מרכז / ירושלים והשפלה,heritage,יער / מסלול,אנדרטה,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער הרצל חולדה,31.8229833,34.893464,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,מרכז אתר / יער,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער חרובית,31.85496306,34.85240656,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,נקודה בתוך היער,בינונית,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
