name,search_query,region,region_raw,category,type_raw,source
צפרות בפארק יצחק נבון ירוחם,צפרות בפארק יצחק נבון ירוחם,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
יער המלאכים-שחריה,יער המלאכים-שחריה,south,דרום / נגב וערבה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
יער יתיר,יער יתיר,south,דרום / נגב וערבה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
יער להב: אתר כנפי קק״ל בעין רימון,יער להב: אתר כנפי קק״ל בעין רימון,south,דרום / נגב וערבה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
יער ניר משה - דרך פרשי היאומנרי,יער ניר משה - דרך פרשי היאומנרי,south,דרום / נגב וערבה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
יער סנסנה,יער סנסנה,south,דרום / נגב וערבה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
יער פלוגות,יער פלוגות,south,דרום / נגב וערבה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
כלניות הנגב,כלניות הנגב,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
שמורת טבע נחל עמוד,שמורת טבע נחל עמוד,north,צפון,reserves,שמורת טבע / מסלול,https://www.parks.org.il/reserve-park/%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%98%D7%91%D7%A2-%D7%A0%D7%97%D7%9C-%D7%A2%D7%9E%D7%95%D7%93/
שמורת טבע תל דן,שמורת טבע תל דן,north,צפון,reserves,שמורת טבע / מסלול,https://www.parks.org.il/reserve-park/%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%98%D7%91%D7%A2-%D7%AA%D7%9C-%D7%93%D7%9F/
